id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,price_quote_price_per_night,minimum_nights,number_of_reviews,review_scores_rating,city
1303585499711878008,43.76966,11.25091,Entire rental unit,Entire home/apt,4,1.0,2.0,197.0,197.0,1.0,31,4.45,Florence
1303609763799370119,43.77011967681855,11.255908598062284,Entire rental unit,Entire home/apt,2,1.0,1.0,139.0,139.0,2.0,38,4.76,Florence
1303644000081614323,43.77425862390215,11.245126227508532,Entire rental unit,Entire home/apt,6,2.0,2.0,296.0,296.0,1.0,28,4.71,Florence
1303646199283771523,43.7638741,11.2727115,Entire rental unit,Entire home/apt,4,1.0,2.0,173.69,173.69,1.0,74,4.96,Florence
1303653560238559384,43.76647014040649,11.255751326680183,Entire rental unit,Entire home/apt,2,1.0,1.0,351.0,351.0,1.0,0,4.83,Florence
1303757518287104810,43.78323,11.32604,Entire rental unit,Entire home/apt,5,1.0,3.0,178.95,178.95,31.0,0,4.89,Florence
1304139538178113619,43.7849,11.23473,Entire rental unit,Entire home/apt,3,1.0,1.0,148.0,148.0,1.0,0,4.9,Florence
1304177017634916162,43.77541,11.26457,Entire rental unit,Entire home/apt,2,1.0,1.0,139.0,139.0,1.0,10,4.0,Florence
1304183887465226496,43.7756635,11.2546672,Entire condo,Entire home/apt,6,2.0,3.0,171.0,171.0,1.0,20,4.4,Florence
1304213876767484542,43.78215,11.24299,Private room in rental unit,Private room,2,1.0,1.0,57.5,57.5,1.0,24,4.33,Florence
1304230353408411179,43.78076650000001,11.2436786,Entire condo,Entire home/apt,6,1.0,2.0,260.5,260.5,2.0,5,5.0,Florence
1304310210010338923,43.76907601945575,11.242112466722563,Entire rental unit,Entire home/apt,2,1.0,1.0,150.5,150.5,1.0,23,4.61,Florence
1304376907951674007,43.7645352,11.2637006,Entire rental unit,Entire home/apt,6,1.5,2.0,184.0,184.0,1.0,19,4.68,Florence
1304877757266848222,43.77540626073901,11.238397942391016,Entire rental unit,Entire home/apt,9,5.0,4.0,709.0,709.0,1.0,57,4.93,Florence
1304900151882047490,43.76720638757116,11.248122127364192,Entire rental unit,Entire home/apt,6,1.0,2.0,155.0,155.0,1.0,85,4.48,Florence
1304923274574373981,43.7677369,11.2520041,Entire rental unit,Entire home/apt,2,1.0,1.0,219.68,219.68,2.0,87,4.97,Florence
1305090898645274125,43.76848815227038,11.257243201852422,Private room in rental unit,Private room,2,1.5,2.0,89.0,89.0,1.0,139,4.52,Florence
1305107374505283883,43.79722125681711,11.230543948826693,Camper/RV,Entire home/apt,2,1.0,1.0,52.0,52.0,1.0,3,3.0,Florence
1305128529068216084,43.79813239701075,11.200172938406467,Entire home,Entire home/apt,6,1.5,2.0,188.29,188.29,1.0,48,4.9,Florence
1305209098193747305,43.76885,11.23797,Entire rental unit,Entire home/apt,6,3.0,3.0,173.0,173.0,1.0,55,4.93,Florence
1305550681328379138,43.7782,11.25436,Entire rental unit,Entire home/apt,8,2.0,4.0,246.0,246.0,2.0,11,4.36,Florence
1305557749470961369,43.77937029178866,11.257185232694953,Entire rental unit,Entire home/apt,2,1.0,1.0,205.68,205.68,1.0,3,4.0,Florence
1305566385294710621,43.77197,11.25813,Entire loft,Entire home/apt,4,1.0,1.0,251.0,251.0,1.0,4,4.5,Florence
1305693161495653899,43.7805617,11.2629305,Entire rental unit,Entire home/apt,4,2.0,2.0,162.0,162.0,1.0,26,4.96,Florence
1305693429050975418,43.7805617,11.2629305,Entire rental unit,Entire home/apt,4,2.0,1.0,192.0,192.0,1.0,39,4.82,Florence
1305788817210744556,43.7730038,11.2647456,Entire rental unit,Entire home/apt,6,1.0,2.0,195.0,195.0,1.0,57,4.95,Florence
1305803377805581253,43.77813039999999,11.2536579,Entire rental unit,Entire home/apt,8,4.0,3.0,350.0,350.0,1.0,51,4.76,Florence
1305818219319268538,43.76727,11.24891,Entire rental unit,Entire home/apt,6,3.0,3.0,259.0,259.0,1.0,15,4.73,Florence
1306532395777817992,43.79086432317321,11.251974371030553,Private room in bed and breakfast,Private room,3,1.0,1.0,122.0,122.0,1.0,33,4.03,Florence
1306641394079335294,43.77885,11.25464,Entire condo,Entire home/apt,4,1.0,2.0,169.08,169.08,2.0,84,4.94,Florence
1306838003515310962,43.7765,11.25316,Entire rental unit,Entire home/apt,2,1.0,1.0,112.98,112.98,1.0,78,4.38,Florence
1307003273067200437,43.76760762984848,11.245666220784187,Entire rental unit,Entire home/apt,4,2.0,1.0,187.5,187.5,2.0,21,5.0,Florence
1307205879224084771,43.77778814743744,11.254500411450865,Private room in home,Private room,2,1.0,1.0,175.0,175.0,1.0,50,4.9,Florence
1307307248088241088,43.77934,11.25098,Private room in rental unit,Private room,2,1.0,2.0,152.5,152.5,1.0,2,5.0,Florence
1307310373994745678,43.7793391,11.2509844,Private room in rental unit,Private room,2,1.0,1.0,164.0,164.0,1.0,2,5.0,Florence
1307314129402461044,43.7793391,11.2509844,Private room in rental unit,Private room,2,1.0,1.0,135.0,135.0,1.0,2,3.5,Florence
1307315984388283600,43.7793391,11.2509844,Private room in rental unit,Private room,2,1.0,1.0,155.0,155.0,1.0,2,4.5,Florence
1307319670871996882,43.7793391,11.2509844,Private room in rental unit,Private room,2,1.0,1.0,142.0,142.0,1.0,2,5.0,Florence
1307841979604412872,43.77429,11.25761,Private room in rental unit,Private room,4,1.0,1.0,109.0,109.0,1.0,5,4.0,Florence
1307853110986368155,43.7795962,11.2571072,Entire rental unit,Entire home/apt,4,2.0,2.0,185.67,185.67,2.0,12,4.83,Florence
1307939308430300557,43.7651319,11.2452167,Entire rental unit,Entire home/apt,4,1.0,1.0,200.5,200.5,1.0,1,3.0,Florence
1308062497272643240,43.7782477,11.2544746,Entire condo,Entire home/apt,6,1.5,2.0,175.73,175.73,2.0,80,4.9,Florence
1308456862630786810,43.7704664,11.25605,Entire rental unit,Entire home/apt,4,1.0,2.0,277.0,277.0,1.0,64,4.92,Florence
1308608287520233154,43.7873009,11.23853,Private room in condo,Private room,2,5.0,5.0,99.0,99.0,2.0,0,4.0,Florence
1308620446082012230,43.78082283097446,11.260394930688458,Entire rental unit,Entire home/apt,6,2.0,3.0,572.0,572.0,1.0,18,4.83,Florence
1308722327816999229,43.763386,11.239428,Entire rental unit,Entire home/apt,5,2.0,3.0,265.0,265.0,1.0,21,4.52,Florence
1309140002146594442,43.780803,11.2412656,Entire rental unit,Entire home/apt,6,2.0,2.0,257.0,257.0,2.0,9,5.0,Florence
1310151657763121667,43.78294127764823,11.259025858922149,Entire home,Entire home/apt,6,4.0,3.0,1200.0,1200.0,1.0,1,5.0,Florence
1310673148117567872,43.77451298331706,11.258778534829617,Entire rental unit,Entire home/apt,5,2.0,3.0,285.5,285.5,2.0,27,4.96,Florence
