id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,price_quote_price_per_night,minimum_nights,number_of_reviews,review_scores_rating,city
842791053204933826,41.8767977,12.467653,Entire vacation home,Entire home/apt,5,1.0,1.0,217.33,217.33,2.0,21,4.81,Rome
843107105842084953,41.8941689,12.4327439,Private room in rental unit,Private room,4,1.0,1.0,131.0,131.0,1.0,5,4.8,Rome
843222641930391378,41.9044058,12.459005,Entire rental unit,Entire home/apt,4,2.0,2.0,248.5,248.5,2.0,91,4.9,Rome
843290410740084636,41.9025838,12.4779742,Entire vacation home,Entire home/apt,6,2.0,2.0,449.5,449.5,2.0,170,4.89,Rome
843342933903881660,41.8765809,12.5697054,Entire vacation home,Entire home/apt,4,1.0,2.0,89.0,89.0,1.0,37,4.86,Rome
843355394676836688,41.88254264889078,12.48489371534422,Private room in condo,Private room,4,1.0,2.0,174.46,174.46,1.0,51,4.94,Rome
843363437088958516,41.90116,12.48474,Entire rental unit,Entire home/apt,6,2.0,2.0,559.5,559.5,2.0,38,4.89,Rome
843378166998025803,41.8744738,12.4849304,Entire condo,Entire home/apt,5,2.0,2.0,108.0,108.0,2.0,63,4.51,Rome
843484247424779399,41.8897216,12.475955,Entire rental unit,Entire home/apt,4,1.0,1.0,262.5,262.5,2.0,156,4.95,Rome
843499275088832370,41.72749,12.28806,Entire condo,Entire home/apt,4,1.0,1.0,120.0,120.0,2.0,93,4.99,Rome
843549414150376853,41.9078934,12.4463305,Entire rental unit,Entire home/apt,6,2.0,2.0,210.0,210.0,1.0,6,4.5,Rome
843669256922982062,41.73156233204153,12.276065982878208,Entire condo,Entire home/apt,3,1.0,1.0,87.0,87.0,1.0,28,4.61,Rome
843871794709262902,41.973692161906826,12.510528246032695,Entire rental unit,Entire home/apt,6,1.0,3.0,131.5,131.5,2.0,43,4.88,Rome
843941138935275039,41.9003912,12.4490679,Entire rental unit,Entire home/apt,6,1.0,2.0,247.33,247.33,3.0,20,4.9,Rome
843994569109898970,41.88737617696784,12.471557845507792,Entire condo,Entire home/apt,7,2.5,3.0,212.26,212.26,3.0,156,4.91,Rome
844070602673333438,41.9216286,12.4397149,Entire rental unit,Entire home/apt,7,2.0,3.0,151.0,151.0,1.0,10,5.0,Rome
844079531092928136,41.8969486191964,12.490502382106891,Entire rental unit,Entire home/apt,3,1.0,1.0,157.0,157.0,2.0,71,4.27,Rome
844101725098190933,41.9088611,12.4903654,Entire vacation home,Entire home/apt,4,2.0,1.0,216.0,216.0,2.0,56,4.96,Rome
844143268450507141,41.8913148,12.5263022,Entire rental unit,Entire home/apt,5,1.0,1.0,116.33,116.33,2.0,89,4.93,Rome
844157681057003149,41.89334,12.50212,Shared room in condo,Shared room,2,1.5,1.0,79.88,79.88,1.0,122,4.7,Rome
844206700168880009,41.90778400174947,12.451553671966549,Entire rental unit,Entire home/apt,5,2.0,2.0,262.0,262.0,1.0,175,4.89,Rome
844677444984085262,41.9051873,12.4462995,Entire rental unit,Entire home/apt,3,1.0,1.0,145.5,145.5,2.0,79,5.0,Rome
844786037167259539,41.890221,12.522982,Entire rental unit,Entire home/apt,4,2.0,2.0,159.0,159.0,2.0,52,4.75,Rome
844837280979319819,41.91111966231592,12.503107599914074,Entire home,Entire home/apt,2,1.0,1.0,79.88,79.88,1.0,174,4.7,Rome
844933262334275082,41.8900003210996,12.513800013491814,Entire rental unit,Entire home/apt,4,1.0,2.0,142.0,142.0,2.0,78,4.85,Rome
844942592905428143,41.906800909350856,12.500682797172743,Entire condo,Entire home/apt,4,1.0,1.0,144.0,144.0,2.0,167,4.6,Rome
